지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 증기압(hPa),합계 3시간 신적설(cm),평균 전운량(1/10)
108,서울,2023-03-30,13.3,0.0,2.2,6.2,0.0,1.1
108,서울,2023-03-31,15.0,0.0,2.1,6.9,0.0,0.0
108,서울,2023-04-01,17.5,0.0,1.8,7.5,0.0,1.8
108,서울,2023-04-02,18.8,0.0,2.4,6.0,0.0,0.4
108,서울,2023-04-03,19.0,0.0,2.3,6.1,0.0,4.1
108,서울,2023-04-04,17.6,6.9,2.6,7.5,0.0,9.1
108,서울,2023-04-05,11.9,50.3,3.4,13.7,0.0,10.0
108,서울,2023-04-06,8.8,2.7,2.5,10.7,0.0,9.8
108,서울,2023-04-07,8.9,0.0,2.9,7.3,0.0,1.5
108,서울,2023-04-08,8.8,0.0,3.2,5.6,0.0,0.4
108,서울,2023-04-09,10.8,0.0,2.5,7.0,0.0,0.0
108,서울,2023-04-10,13.2,0.0,2.7,7.4,0.0,2.6
108,서울,2023-04-11,13.1,2.9,3.6,11.1,0.0,6.5
108,서울,2023-04-12,10.1,0.0,2.7,5.3,0.0,0.8
108,서울,2023-04-13,11.9,0.0,1.8,5.7,0.0,5.1
108,서울,2023-04-14,16.2,0.0,1.6,10.7,0.0,8.1
108,서울,2023-04-15,13.5,4.6,2.2,12.6,0.0,7.4
108,서울,2023-04-16,10.8,0.0,2.5,9.0,0.0,6.9
108,서울,2023-04-17,13.1,0.0,2.0,8.5,0.0,6.1
108,서울,2023-04-18,14.0,1.5,2.7,12.4,0.0,6.4
108,서울,2023-04-19,19.1,0.0,2.4,13.7,0.0,2.3
108,서울,2023-04-20,15.8,0.5,2.4,16.5,0.0,9.5
108,서울,2023-04-21,16.7,0.0,2.5,8.9,0.0,3.8
108,서울,2023-04-22,16.9,0.0,2.6,4.3,0.0,7.6
108,서울,2023-04-23,16.1,0.0,2.1,6.1,0.0,8.0
108,서울,2023-04-24,15.8,0.0,2.7,7.3,0.0,5.8
108,서울,2023-04-25,10.9,0.4,1.9,8.9,0.0,9.4
108,서울,2023-04-26,10.2,0.0,3.1,8.6,0.0,4.5
108,서울,2023-04-27,12.9,0.0,1.9,8.6,0.0,0.5
108,서울,2023-04-28,15.7,1.9,2.1,10.7,0.0,6.4
108,서울,2023-04-29,13.2,25.1,2.9,13.6,0.0,9.6
108,서울,2023-04-30,12.7,0.1,3.3,10.4,0.0,6.1
108,서울,2023-05-01,14.6,0.0,2.5,8.8,0.0,3.0
108,서울,2023-05-02,16.7,0.0,2.1,7.3,0.0,6.6
108,서울,2023-05-03,19.5,0.0,2.1,11.6,0.0,4.5
108,서울,2023-05-04,21.4,0.0,2.1,16.3,0.0,7.9
108,서울,2023-05-05,18.4,30.2,2.5,20.2,0.0,10.0
108,서울,2023-05-06,12.6,47.5,5.4,12.5,0.0,9.3
108,서울,2023-05-07,14.4,0.0,2.6,7.6,0.0,7.1
108,서울,2023-05-08,15.3,0.0,2.2,9.2,0.0,2.4
108,서울,2023-05-09,17.0,0.0,2.3,10.2,0.0,0.9
108,서울,2023-05-10,18.4,0.0,1.8,10.6,0.0,2.5
108,서울,2023-05-11,19.5,0.0,2.3,10.8,0.0,2.9
108,서울,2023-05-12,18.4,0.0,1.8,10.1,0.0,5.0
108,서울,2023-05-13,17.8,0.0,2.0,12.3,0.0,3.6
108,서울,2023-05-14,18.1,0.0,2.0,11.3,0.0,1.6
108,서울,2023-05-15,20.6,0.0,2.4,12.6,0.0,2.0
108,서울,2023-05-16,24.0,0.0,2.5,14.9,0.0,2.1
108,서울,2023-05-17,23.5,0.0,3.4,17.9,0.0,4.6
108,서울,2023-05-18,21.2,1.3,2.1,18.6,0.0,7.1
108,서울,2023-05-19,22.3,0.0,2.3,16.1,0.0,2.4
108,서울,2023-05-20,21.2,0.0,3.0,16.5,0.0,5.0
108,서울,2023-05-21,17.8,0.2,3.0,14.7,0.0,9.0
108,서울,2023-05-22,20.3,0.0,1.9,14.0,0.0,6.3
108,서울,2023-05-23,20.5,0.0,2.2,11.2,0.0,0.6
108,서울,2023-05-24,20.6,0.0,2.0,11.7,0.0,7.0
108,서울,2023-05-25,21.2,0.0,2.4,11.1,0.0,5.4
108,서울,2023-05-26,21.4,0.5,2.1,14.2,0.0,7.0
108,서울,2023-05-27,19.3,31.8,1.7,19.4,0.0,9.6
108,서울,2023-05-28,19.2,41.8,1.8,21.9,0.0,10.0
108,서울,2023-05-29,23.2,2.3,1.6,23.2,0.0,6.8
108,서울,2023-05-30,24.0,0.0,2.2,20.2,0.0,6.5
108,서울,2023-05-31,22.8,0.0,2.5,16.6,0.0,6.5
108,서울,2023-06-01,22.8,0.0,1.9,18.3,0.0,8.3
108,서울,2023-06-02,20.4,0.0,2.3,18.3,0.0,3.5
108,서울,2023-06-03,22.0,0.0,2.7,15.1,0.0,2.1
108,서울,2023-06-04,22.1,0.0,2.4,15.4,0.0,3.3
108,서울,2023-06-05,21.5,0.0,2.6,16.8,0.0,4.4
108,서울,2023-06-06,20.3,0.0,2.6,17.1,0.0,6.1
108,서울,2023-06-07,21.4,0.0,2.1,19.1,0.0,8.9
108,서울,2023-06-08,20.4,1.9,2.4,19.2,0.0,8.4
108,서울,2023-06-09,23.3,1.2,2.0,17.4,0.0,4.6
108,서울,2023-06-10,23.2,0.8,2.3,19.5,0.0,6.9
108,서울,2023-06-11,22.1,32.2,2.2,19.8,0.0,6.1
108,서울,2023-06-12,22.2,0.0,1.7,18.5,0.0,6.6
108,서울,2023-06-13,22.0,0.0,2.2,18.3,0.0,3.9
108,서울,2023-06-14,20.6,30.6,1.5,19.3,0.0,4.1
108,서울,2023-06-15,22.7,0.0,2.1,19.1,0.0,2.9
108,서울,2023-06-16,23.7,0.0,2.1,18.3,0.0,0.9
108,서울,2023-06-17,24.2,0.0,2.0,16.8,0.0,4.4
108,서울,2023-06-18,25.9,0.0,2.0,19.8,0.0,3.4
108,서울,2023-06-19,28.5,0.0,2.2,22.0,0.0,3.3
108,서울,2023-06-20,24.7,6.4,1.9,19.8,0.0,8.8
108,서울,2023-06-21,20.5,24.9,2.1,22.3,0.0,9.4
108,서울,2023-06-22,22.5,0.0,2.2,20.9,0.0,6.3
108,서울,2023-06-23,24.4,0.0,1.5,23.1,0.0,5.0
108,서울,2023-06-24,26.4,0.0,2.0,24.0,0.0,1.5
108,서울,2023-06-25,28.2,0.0,2.1,24.2,0.0,5.8
108,서울,2023-06-26,24.2,30.3,2.9,26.4,0.0,10.0
108,서울,2023-06-27,25.3,2.5,3.2,23.1,0.0,6.5
108,서울,2023-06-28,26.5,0.0,2.5,26.5,0.0,8.1
108,서울,2023-06-29,24.2,63.8,2.3,28.8,0.0,10.0
108,서울,2023-06-30,25.3,1.0,1.8,28.6,0.0,7.4
108,서울,2023-07-01,27.7,0.0,2.0,28.1,0.0,1.4
108,서울,2023-07-02,26.7,0.0,1.9,27.6,0.0,6.6
108,서울,2023-07-03,29.1,0.0,1.8,28.2,0.0,4.9
108,서울,2023-07-04,26.1,61.8,2.3,29.1,0.0,9.8
108,서울,2023-07-05,24.5,15.3,3.7,25.1,0.0,5.9
108,서울,2023-07-06,27.3,0.0,2.7,25.3,0.0,6.3
108,서울,2023-07-07,26.7,0.0,2.3,22.4,0.0,4.1
108,서울,2023-07-08,25.6,0.0,2.2,25.1,0.0,7.6
108,서울,2023-07-09,24.7,47.5,2.0,26.7,0.0,8.8
108,서울,2023-07-10,26.3,11.5,2.3,27.2,0.0,7.3
108,서울,2023-07-11,23.5,58.3,1.9,26.5,0.0,9.4
108,서울,2023-07-12,25.8,0.7,1.5,28.4,0.0,9.4
108,서울,2023-07-13,25.2,91.6,1.6,30.3,0.0,10.0
108,서울,2023-07-14,24.6,72.7,2.9,30.6,0.0,10.0
108,서울,2023-07-15,24.5,2.3,3.0,28.8,0.0,9.9
108,서울,2023-07-16,24.6,9.7,2.3,27.5,0.0,9.3
108,서울,2023-07-17,25.5,1.4,1.7,28.0,0.0,9.0
108,서울,2023-07-18,25.2,2.3,1.4,27.9,0.0,8.0
108,서울,2023-07-19,27.2,0.0,1.7,27.9,0.0,2.3
108,서울,2023-07-20,27.9,0.0,1.8,27.3,0.0,2.9
108,서울,2023-07-21,29.5,0.0,1.8,28.1,0.0,2.3
108,서울,2023-07-22,27.7,12.3,2.6,26.9,0.0,6.6
108,서울,2023-07-23,25.2,40.2,2.1,30.2,0.0,10.0
108,서울,2023-07-24,26.9,0.4,2.0,29.2,0.0,7.3
108,서울,2023-07-25,27.8,5.6,2.7,29.9,0.0,7.1
108,서울,2023-07-26,27.6,1.0,2.2,29.7,0.0,7.6
108,서울,2023-07-27,28.4,0.0,1.9,29.8,0.0,5.9
108,서울,2023-07-28,29.5,0.0,2.1,29.3,0.0,3.3
108,서울,2023-07-29,29.1,0.0,2.0,28.9,0.0,4.4
108,서울,2023-07-30,28.8,25.0,1.9,28.1,0.0,4.8
108,서울,2023-07-31,28.7,0.3,1.7,29.6,0.0,6.4
108,서울,2023-08-01,29.9,0.0,1.9,29.9,0.0,4.1
108,서울,2023-08-02,29.7,0.0,2.1,27.8,0.0,4.0
108,서울,2023-08-03,29.5,0.0,2.1,27.2,0.0,3.9
108,서울,2023-08-04,30.0,0.0,1.9,28.3,0.0,4.3
108,서울,2023-08-05,30.3,0.0,2.0,29.4,0.0,2.8
108,서울,2023-08-06,29.8,4.9,1.7,31.9,0.0,5.8
108,서울,2023-08-07,30.4,0.0,2.7,29.5,0.0,4.4
108,서울,2023-08-08,30.9,0.0,2.9,26.7,0.0,2.4
108,서울,2023-08-09,28.3,0.2,3.2,25.9,0.0,8.0
108,서울,2023-08-10,22.2,86.1,3.7,24.5,0.0,10.0
108,서울,2023-08-11,23.5,46.7,2.3,26.8,0.0,10.0
108,서울,2023-08-12,23.3,1.5,1.9,25.9,0.0,8.9
108,서울,2023-08-13,27.0,0.0,1.7,26.9,0.0,8.3
108,서울,2023-08-14,28.1,0.0,1.6,28.3,0.0,4.0
108,서울,2023-08-15,28.6,0.0,2.3,27.7,0.0,6.5
108,서울,2023-08-16,27.3,0.3,2.1,26.0,0.0,4.5
108,서울,2023-08-17,28.2,0.0,1.7,27.4,0.0,4.6
108,서울,2023-08-18,29.1,0.1,1.9,28.7,0.0,3.1
108,서울,2023-08-19,29.1,0.0,1.9,27.3,0.0,3.9
108,서울,2023-08-20,28.3,0.0,1.6,27.3,0.0,7.3
108,서울,2023-08-21,29.5,0.0,2.4,28.5,0.0,6.6
108,서울,2023-08-22,27.6,42.6,2.4,29.4,0.0,9.0
108,서울,2023-08-23,24.8,41.8,2.2,28.5,0.0,9.6
108,서울,2023-08-24,25.1,5.2,2.8,26.8,0.0,9.0
108,서울,2023-08-25,26.5,0.0,2.6,26.6,0.0,5.0
108,서울,2023-08-26,26.4,0.0,1.8,24.4,0.0,6.4
108,서울,2023-08-27,26.1,0.0,1.8,25.2,0.0,8.9
108,서울,2023-08-28,22.7,10.4,3.3,24.1,0.0,10.0
108,서울,2023-08-29,23.9,54.8,2.1,26.5,0.0,9.4
108,서울,2023-08-30,22.8,3.5,1.1,24.4,0.0,9.8
108,서울,2023-08-31,23.9,0.0,1.3,22.3,0.0,6.0
108,서울,2023-09-01,24.5,0.0,2.0,21.0,0.0,0.5
108,서울,2023-09-02,25.4,0.0,1.6,20.0,0.0,4.6
108,서울,2023-09-03,25.8,0.1,2.2,25.7,0.0,8.1
108,서울,2023-09-04,27.0,0.3,1.8,28.3,0.0,9.1
108,서울,2023-09-05,28.5,0.0,1.8,26.6,0.0,6.4
108,서울,2023-09-06,27.9,0.0,2.4,23.9,0.0,1.1
108,서울,2023-09-07,26.3,0.0,2.5,18.1,0.0,0.0
108,서울,2023-09-08,25.3,0.0,2.3,19.1,0.0,0.4
108,서울,2023-09-09,25.8,0.0,1.8,21.5,0.0,3.3
108,서울,2023-09-10,25.7,0.0,1.6,22.2,0.0,6.1
108,서울,2023-09-11,25.5,0.0,1.9,21.6,0.0,6.5
108,서울,2023-09-12,25.7,0.0,1.5,22.6,0.0,7.4
108,서울,2023-09-13,22.1,15.9,1.8,22.3,0.0,9.9
108,서울,2023-09-14,23.4,0.0,2.4,20.5,0.0,7.6
108,서울,2023-09-15,22.3,2.1,2.6,22.1,0.0,9.8
108,서울,2023-09-16,23.9,38.7,1.7,25.9,0.0,9.9
108,서울,2023-09-17,24.7,3.0,1.4,26.1,0.0,8.0
108,서울,2023-09-18,24.7,0.0,1.9,24.3,0.0,3.8
108,서울,2023-09-19,24.1,0.0,1.6,24.2,0.0,8.6
108,서울,2023-09-20,20.6,35.8,2.7,21.8,0.0,9.4
108,서울,2023-09-21,20.1,0.0,2.3,16.5,0.0,7.1
108,서울,2023-09-22,20.5,0.0,1.7,15.8,0.0,2.0
108,서울,2023-09-23,21.8,0.0,2.5,16.1,0.0,4.6
108,서울,2023-09-24,21.8,0.0,2.9,14.3,0.0,5.4
108,서울,2023-09-25,21.6,1.9,2.3,16.9,0.0,9.6
108,서울,2023-09-26,19.9,27.8,2.4,22.3,0.0,10.0
108,서울,2023-09-27,21.5,4.4,1.8,23.1,0.0,9.1
108,서울,2023-09-28,22.7,0.0,2.0,21.2,0.0,5.0
108,서울,2023-09-29,21.1,0.0,1.4,14.9,0.0,7.1
108,서울,2023-09-30,19.7,4.5,2.2,17.7,0.0,6.1
108,서울,2023-10-01,18.4,0.0,2.4,12.2,0.0,0.1
108,서울,2023-10-02,18.2,0.0,1.7,10.7,0.0,2.0
108,서울,2023-10-03,17.5,0.0,1.7,13.0,0.0,4.9
108,서울,2023-10-04,17.3,14.7,2.1,14.8,0.0,5.8
108,서울,2023-10-05,14.2,0.0,2.6,7.4,0.0,2.3
108,서울,2023-10-06,15.5,0.0,1.6,9.5,0.0,5.6
108,서울,2023-10-07,16.8,0.0,2.1,11.7,0.0,7.8
108,서울,2023-10-08,17.1,0.0,2.5,13.0,0.0,8.4
108,서울,2023-10-09,17.4,1.2,1.9,13.3,0.0,6.0
108,서울,2023-10-10,17.1,0.0,1.6,12.5,0.0,0.0
108,서울,2023-10-11,17.6,0.0,1.7,11.1,0.0,0.5
108,서울,2023-10-12,17.5,0.0,1.5,12.2,0.0,4.1
108,서울,2023-10-13,17.5,0.0,1.5,13.7,0.0,7.6
108,서울,2023-10-14,14.7,5.8,1.4,14.1,0.0,5.5
108,서울,2023-10-15,16.1,0.0,2.0,14.3,0.0,2.0
108,서울,2023-10-16,14.7,0.0,2.4,9.3,0.0,0.0
108,서울,2023-10-17,13.8,0.0,1.6,8.4,0.0,0.0
108,서울,2023-10-18,15.7,0.0,2.1,11.9,0.0,4.0
108,서울,2023-10-19,17.0,8.2,1.5,16.1,0.0,9.5
108,서울,2023-10-20,11.6,0.0,3.2,6.4,0.0,1.3
108,서울,2023-10-21,10.4,1.1,2.3,6.7,0.0,1.1
108,서울,2023-10-22,12.5,0.0,1.7,9.8,0.0,4.3
108,서울,2023-10-23,15.2,0.0,1.7,12.4,0.0,3.8
108,서울,2023-10-24,15.6,0.0,1.7,13.8,0.0,5.0
108,서울,2023-10-25,16.6,0.0,1.4,14.6,0.0,4.0
108,서울,2023-10-26,17.2,0.0,2.1,15.5,0.0,8.9
108,서울,2023-10-27,15.7,0.0,1.9,12.4,0.0,3.8
108,서울,2023-10-28,14.2,0.0,1.4,9.7,0.0,0.0
108,서울,2023-10-29,14.9,0.0,1.7,10.0,0.0,0.0
108,서울,2023-10-30,15.1,0.0,1.7,12.1,0.0,1.1
108,서울,2023-10-31,16.5,0.0,1.8,14.0,0.0,5.8
108,서울,2023-11-01,19.0,0.0,2.4,17.9,0.0,9.0
108,서울,2023-11-02,20.8,0.0,2.9,17.0,0.0,4.6
108,서울,2023-11-03,19.5,8.5,2.8,18.7,0.0,7.9
108,서울,2023-11-04,17.4,0.0,2.6,14.9,0.0,5.6
108,서울,2023-11-05,17.3,10.4,3.3,17.2,0.0,9.1
108,서울,2023-11-06,13.3,45.8,4.9,13.5,0.0,9.4
108,서울,2023-11-07,5.8,0.0,3.2,5.7,0.0,1.6
108,서울,2023-11-08,8.4,0.0,1.7,5.7,0.0,2.6
108,서울,2023-11-09,11.4,5.1,2.1,10.1,0.0,5.6
108,서울,2023-11-10,3.4,0.0,3.9,4.1,0.0,1.1
108,서울,2023-11-11,1.7,0.0,2.2,3.2,0.0,1.9
108,서울,2023-11-12,1.2,0.0,2.2,3.5,0.0,0.0
108,서울,2023-11-13,2.0,0.0,2.3,3.7,0.0,0.0
108,서울,2023-11-14,5.0,0.0,1.7,5.7,0.0,2.3
108,서울,2023-11-15,7.0,0.0,1.5,7.0,0.0,4.0
108,서울,2023-11-16,6.6,8.4,1.9,8.2,0.0,9.0
108,서울,2023-11-17,1.6,0.0,2.9,4.1,0.0,4.3
108,서울,2023-11-18,0.6,0.0,3.5,3.8,0.0,0.0
108,서울,2023-11-19,5.9,0.0,2.4,6.4,0.0,2.6
108,서울,2023-11-20,6.2,0.0,1.5,5.3,0.0,0.0
108,서울,2023-11-21,7.4,0.0,1.7,5.9,0.0,0.0
108,서울,2023-11-22,9.5,0.0,1.8,8.0,0.0,4.0
108,서울,2023-11-23,9.9,0.1,3.3,9.0,0.0,4.4
108,서울,2023-11-24,-1.5,0.0,3.8,2.8,0.0,0.3
108,서울,2023-11-25,-1.3,0.0,1.8,2.3,0.0,1.8
108,서울,2023-11-26,4.0,0.0,1.4,3.7,0.0,8.9
108,서울,2023-11-27,6.2,3.6,2.4,7.8,0.0,6.8
108,서울,2023-11-28,1.3,0.0,3.2,3.9,0.0,2.3
108,서울,2023-11-29,-1.4,0.0,2.5,3.3,0.0,4.4
108,서울,2023-11-30,-4.3,0.0,2.8,2.1,0.0,0.0
108,서울,2023-12-01,-3.2,0.0,2.0,2.6,0.0,0.1
108,서울,2023-12-02,2.0,0.0,2.4,4.3,0.0,4.0
108,서울,2023-12-03,0.8,0.0,1.7,3.5,0.0,0.0
108,서울,2023-12-04,2.7,0.0,1.6,4.4,0.0,2.5
108,서울,2023-12-05,6.8,0.0,2.0,5.5,0.0,3.8
108,서울,2023-12-06,6.1,3.8,2.3,7.2,0.0,6.3
108,서울,2023-12-07,6.6,0.0,2.6,6.4,0.0,1.9
108,서울,2023-12-08,11.2,0.0,3.0,10.0,0.0,1.4
108,서울,2023-12-09,13.7,0.0,2.0,12.9,0.0,8.3
108,서울,2023-12-10,11.4,0.0,0.0,8.9,0.0,5.6
108,서울,2023-12-11,8.9,11.4,0.0,9.5,0.0,10.0
108,서울,2023-12-12,5.4,0.4,2.7,6.7,0.0,4.9
108,서울,2023-12-13,6.8,0.0,2.4,7.2,0.0,6.3
108,서울,2023-12-14,7.6,17.0,4.5,8.9,0.0,10.0
108,서울,2023-12-15,4.9,31.1,3.6,8.3,0.0,10.0
108,서울,2023-12-16,-4.1,1.5,5.2,3.4,1.0,5.6
108,서울,2023-12-17,-9.8,0.0,3.2,1.4,0.0,0.0
108,서울,2023-12-18,-7.7,0.0,2.2,1.5,0.0,6.9
108,서울,2023-12-19,-3.7,0.3,1.9,3.1,0.9,6.9
108,서울,2023-12-20,-7.4,0.8,3.4,2.3,1.2,2.6
108,서울,2023-12-21,-11.7,0.0,3.0,1.4,0.0,0.0
108,서울,2023-12-22,-11.6,0.0,2.7,1.3,0.0,0.0
108,서울,2023-12-23,-6.8,0.0,1.8,1.9,0.0,1.4
108,서울,2023-12-24,-2.2,1.1,1.6,3.8,1.5,5.0
108,서울,2023-12-25,-0.7,0.7,1.5,4.7,3.0,6.5
108,서울,2023-12-26,1.9,0.0,1.8,5.0,0.0,2.9
108,서울,2023-12-27,1.5,0.0,1.4,5.2,0.0,0.5
108,서울,2023-12-28,1.2,0.0,1.6,4.6,0.0,3.1
108,서울,2023-12-29,1.3,0.0,1.7,4.8,0.0,4.8
108,서울,2023-12-30,0.6,13.1,2.6,5.9,12.3,9.5
108,서울,2023-12-31,2.1,4.7,2.0,6.8,0.0,5.8
