지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 증기압(hPa),합계 3시간 신적설(cm),평균 전운량(1/10),기사
108,서울,2023-01-13,8.3,37.3,2.5,10.8,,10,{박무}0135-{박무}{강도1}0300-{박무}{강도1}0600-{박무}{강도1}0900-1030. -{비}-{비}{강도1}0300-{비}{강도0}0600-{비}{강도0}0900-1050. {박무}1140-{박무}{강도0}1200-{시정(미만)}{1km}{안개}1353-{안개}{강도0}1500-{시정(이상)}{1km}{박무}1514-{시정(미만)}{1km}{안개}1536-{시정(이상)}{1km}{박무}1622-{박무}{강도2}1800-{시정(미만)}{1km}{안개}1957-{시정(미만)}{0.5km}{안개}2048-{안개}{강도1}2100-{시정(이상)}{0.5km}{안개}2111-{시정(미만)}{0.5km}{안개}2345-{안개}{강도1}2400- {안개비}1145-{안개비}{강도0}1200-{안개비}{강도1}1500-{안개비}{강도0}1800-{안개비}{강도2}2100-{안개비}{강도2}2400-
108,서울,2023-01-14,6.6,1.6,2.5,9.1,,9.8,-{안개}-{시정(이상)}{0.5km}{안개}0013-{시정(이상)}{1km}{박무}0052-{시정(미만)}{1km}{안개}0148-{시정(미만)}{0.5km}{안개}0242-{안개}{강도1}0300-{안개}{강도1}0600-{시정(이상)}{0.5km}{안개}0622-{시정(이상)}{1km}{박무}0627-{시정(미만)}{1km}{안개}0730-{시정(미만)}{0.5km}{안개}0732-{시정(이상)}{0.5km}{안개}0803-{시정(이상)}{1km}{박무}0820-{박무}{강도0}0900-{박무}{강도1}1200-1355. -{안개비}-{안개비}{강도2}0300-{안개비}{강도2}0600-0840. {비}1005-{비}{강도0}1200-1455. {안개비}1820-1915. {비}2025-{비}{강도0}2100-2220.
108,서울,2023-01-15,-.2,3.2,2.8,5.7,.6,10,{안개비}0050-{안개비}{강도0}0300-{안개비}{강도0}0600-{진눈깨비}0735-{눈}0820-{눈}{강도0}0900-{눈}{강도0}1200-{진눈깨비}1250-{눈}1345-{눈}{강도0}1500-{눈}{강도0}1800-{눈}{강도0}2100-{눈}{강도0}2400- {박무}0115-{박무}{강도1}0300-{박무}{강도1}0600-{박무}{강도1}0900-{박무}{강도0}1200-1355.
108,서울,2023-01-16,-4.6,0,2.7,2.8,,2.8,-{눈}-{눈}{강도0}0300-{눈}{강도0}0600-0830.
108,서울,2023-01-17,-3.7,0,1.8,3.1,,8.8,{눈}1430-{눈}{강도0}1500-1615. {눈}1950-2050. {눈}2350-{눈}{강도0}2400-
108,서울,2023-01-18,-1.9,0,2,3.1,,1.1,-{눈}-0130. {박무}0735-0810.
108,서울,2023-01-19,-.4,1,2.5,4.2,,6.3,{햇무리}1050-1230. {눈}1855-1950. {눈}2020-2055. {눈}2115-{진눈깨비}2240-{눈}2325-2345. {박무}2340-{박무}{강도0}2400-
108,서울,2023-01-20,-3.3,,3.7,2.7,,.3,{황사}0250-{황사}{강도0}0600-{황사}{강도0}0900-0920. -{박무}-{박무}{강도0}0300-0320.
108,서울,2023-01-21,-4.5,,1.8,2.4,,2,
108,서울,2023-01-22,-.6,0,2.6,3.7,,7.5,{눈}0950-1150.
108,서울,2023-01-23,-.8,,2.7,4,,5.3,{연무}1750-{연무}{강도0}1800-1830. {연무}2120-2215.
108,서울,2023-01-24,-14.7,0,4.6,1,,1,{눈}0435-0530.
108,서울,2023-01-25,-11.3,0,2.1,1.1,,1.6,{눈}2350-{눈}{강도0}2400-
108,서울,2023-01-26,-6,.8,2.5,3.2,4.5,8.5,-{눈}-{눈}{강도0}0300-{눈}{강도0}0600-{눈}{강도0}0900-{눈}{강도0}1200-1455.
108,서울,2023-01-27,-7.3,,3.5,2,,0,
108,서울,2023-01-28,-6,0,2.4,2.2,,1,{눈}1120-1130.
108,서울,2023-01-29,-1.8,,2.6,3.2,,2.5,
108,서울,2023-01-30,-.9,,2.1,3.1,,0,
108,서울,2023-01-31,2.4,,2.7,5.2,,5.4,{박무}2355-{박무}{강도0}2400-
108,서울,2023-02-01,.9,,3.2,4.5,,2.5,-{박무}-{박무}{강도1}0300-{시정(미만)}{1km}{안개}0455-{안개}{강도0}0600-{시정(이상)}{1km}{박무}0610-{박무}{강도1}0900-1110.
108,서울,2023-02-02,-2.4,,2.5,2.6,,5.5,{햇무리}0850-1040. {햇무리}1255-1350. {햇무리}1650-1720.
108,서울,2023-02-03,-1.6,,2.2,2.5,,3,
108,서울,2023-02-04,-.2,,2,3.1,,.9,
108,서울,2023-02-05,1.7,,1.8,4.9,,2.3,{박무}0330-0545. {박무}0635-0715. {박무}0905-1030. {연무}1025-{연무}{강도0}1200-1255. {박무}2135-{박무}{강도0}2400-
108,서울,2023-02-06,3,,1.6,5.3,,3.6,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-1115. {연무}1110-{연무}{강도0}1200-1455. {햇무리}1335-1540. {연무}1530-1655. {연무}2145-{연무}{강도0}2400-
108,서울,2023-02-07,3.5,,1.5,5.6,,3.4,-{연무}-{연무}{강도0}0300-0335. {박무}0330-{박무}{강도0}0600-{박무}{강도0}0900-1055. {연무}1050-{연무}{강도0}1200-{연무}{강도0}1500-{연무}{강도0}1800-{연무}{강도0}2100-2340. {박무}2335-{박무}{강도0}2400-
108,서울,2023-02-08,2.1,,2.5,4.3,,.3,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-0950. {연무}0945-1010.
108,서울,2023-02-09,4,0,2.5,4,,6.5,{비}2320-{비}{강도0}2400-
108,서울,2023-02-10,3.8,.6,2.2,6.4,,6.1,-{비}-{비}{강도0}0300-{비}{강도0}0600-{진눈깨비}0620-{비}0740-{비}{강도0}0900-0955. {박무}0710-{박무}{강도0}0900-0940.
108,서울,2023-02-11,2.8,,1.8,5.4,,3.4,{햇무리}1245-1330. {연무}2150-{연무}{강도0}2400-
108,서울,2023-02-12,3.7,,1.8,5.5,,6.9,{박무}0020-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-1145. -{연무}-0025. {연무}1140-{연무}{강도0}1200-{연무}{강도0}1500-{연무}{강도0}1800-{연무}{강도0}2100-2210.
108,서울,2023-02-13,5.9,,2.3,6.1,,7.3,
108,서울,2023-02-14,1.7,,2.7,3.7,,1.6,
108,서울,2023-02-15,3.2,,2.5,3.6,,3.9,
108,서울,2023-02-16,2.3,0,2.7,4.9,,5.4,{눈}1150-{눈}{강도0}1200-1215.
108,서울,2023-02-17,3.4,,1.8,5.1,,5,{연무}2320-{연무}{강도0}2400-
108,서울,2023-02-18,5.7,,1.5,5.3,,9.9,-{연무}-{연무}{강도0}0300-{연무}{강도0}0600-{연무}{강도0}0900-{연무}{강도0}1200-1250. {연무}1350-{연무}{강도0}1500-{연무}{강도0}1800-{연무}{강도0}2100-{연무}{강도0}2400-
108,서울,2023-02-19,3.5,.4,3.3,4.4,,3.9,-{연무}-{연무}{강도0}0300-0550. {비}0515-{진눈깨비}0555-{진눈깨비}{강도0}0600-{비}0705-{안개비}0745-0810. {박무}0610-{박무}{강도1}0900-1010. {연무}1050-1110.
108,서울,2023-02-20,-.5,,3.3,2.7,,0,
108,서울,2023-02-21,-1.3,,2.1,2.3,,.1,
108,서울,2023-02-22,1.2,,2.2,3.2,,5.5,
108,서울,2023-02-23,2.9,,1.9,4.8,,2.5,
108,서울,2023-02-24,3.5,,3,4.4,,1.8,{박무}0255-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-1010. {연무}1005-1110.
108,서울,2023-02-25,.7,,2.9,2.8,,0,
108,서울,2023-02-26,2.2,,2.1,3.3,,0,
108,서울,2023-02-27,4.4,,1.9,3.8,,0,
108,서울,2023-02-28,4.3,,2,5.4,,5.5,
108,서울,2023-03-01,6,,3.1,5.1,,5.4,
108,서울,2023-03-02,2.2,,2.8,2.7,,0,
108,서울,2023-03-03,4.6,,2.1,5.7,,3.8,
108,서울,2023-03-04,7.7,,1.9,7,,4.8,{박무}0205-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-1025. {연무}1020-{연무}{강도0}1200-1420. {연무}1645-{연무}{강도0}1800-1910. {연무}2030-{연무}{강도0}2100-{연무}{강도0}2400-
108,서울,2023-03-05,8,,1.7,5.5,,0,{박무}0150-0259. -{연무}-0155. {박무}0335-{박무}{강도0}0600-{박무}{강도0}0900-0945. {연무}0940-{연무}{강도0}1200-{연무}{강도0}1500-1515.
108,서울,2023-03-06,9.2,,2.1,4.7,,1.1,
108,서울,2023-03-07,11.7,,2.3,8.4,,2.1,{박무}2045- {박무}{강도0}2100-2130.
108,서울,2023-03-08,12.5,1.2,2,9.3,,7,{박무}0035-{박무}{강도0}0300-{박무}{강도0}0600-0710. {비}0920-0930. {비}1930-1940. {비}2315-{비}{강도0}2400-
108,서울,2023-03-09,10.3,3.7,2.3,10.7,,5.1,-{비}-0120. {박무}0710-{박무}{강도2}0900-{박무}{강도1}1200-{박무}{강도0}1500-{박무}{강도0}1800-{박무}{강도0}2100-{박무}{강도1}2400- {안개비}0750-{안개비}{강도0}0900-1120.
108,서울,2023-03-10,13.5,,2.1,8.8,,0,-{박무}-{박무}{강도1}0300-{박무}{강도1}0600-{박무}{강도0}0900-0945. {연무}0940-1110. {연무}2035-{연무}{강도0}2100-{연무}{강도0}2400-
108,서울,2023-03-11,15.2,,2.4,8.3,,5.9,-{연무}-{연무}{강도0}0300-{연무}{강도0}0600-{연무}{강도0}0900-1010.
108,서울,2023-03-12,5.9,5.6,3.7,6.7,,5.9,{연무}0320-0545. {박무}0540-{박무}{강도1}0600-{박무}{강도0}0900-{박무}{강도0}1200-1250. {비}0650-{비}{강도0}0900-{비}{강도0}1200-1310.
108,서울,2023-03-13,2.9,,3.2,3,,3.1,
108,서울,2023-03-14,9.2,,2.9,5.3,,3.4,
108,서울,2023-03-15,8.6,,3,7.7,,6.4,{박무}1740-{박무}{강도0}1800-1840. {황사}2035-{황사}{강도0}2100-{황사}{강도0}2400-
108,서울,2023-03-16,4.6,,2.4,3.1,,5.5,-{황사}-{황사}{강도0}0300-0340. {햇무리}1150-1230. {햇무리}1330-1810.
108,서울,2023-03-17,7.2,,1.7,3.4,,8,{햇무리}1050-1430.
108,서울,2023-03-18,7.7,,2.6,4.7,,1.9,{연무}2255-{연무}{강도0}2400-
108,서울,2023-03-19,8.3,,2.1,6.3,,.4,-{연무}-{연무}{강도0}0300-{연무}{강도0}0600-0605. {연무}0805-{연무}{강도0}0900-1055. {연무}1805-{연무}{강도0}2100-{연무}{강도0}2400-
108,서울,2023-03-20,9.5,,1.6,5.5,,2.8,-{연무}-{연무}{강도0}0300-0440. {박무}0435-{박무}{강도0}0600- {박무}{강도0}0900-0925. {연무}0920-1110.
108,서울,2023-03-21,13,,1.7,5,,1.1,
108,서울,2023-03-22,17,,1.8,8.6,,6.4,
108,서울,2023-03-23,17.4,0,2.5,9.7,,5.6,{비}0010-0025. {비}0155-0205. {비}0555-{비}{강도0}0600-0745. {비}0810-0850. {황사}1640-{황사}{강도0}1800-{황사}{강도0}2100-{황사}{강도0}2400-
108,서울,2023-03-24,12.5,,2.3,5.3,,8,-{황사}-{황사}{강도0}0300-{황사}{강도0}0600-{황사}{강도0}0900-{황사}{강도0}1200-{황사}{강도0}1500-{황사}{강도0}1800-{황사}{강도0}2100-{황사}{강도0}2400- {햇무리}0955-1445.
108,서울,2023-03-25,12.5,,2.3,8.5,,4.1,-{황사}-{황사}{강도0}0300-0350. {황사}1420-{황사}{강도0}1500-{황사}{강도0}1800-{황사}{강도0}2100-{황사}{강도0}2400-
108,서울,2023-03-26,9.4,,3.6,3.9,,.8,-{황사}-{황사}{강도0}0300-0530.
108,서울,2023-03-27,7.3,,2.3,4.4,,1.1,
108,서울,2023-03-28,9.2,,2.1,5.8,,2.9,
108,서울,2023-03-29,11.8,,1.9,6.5,,.3,{연무}0730-{연무}{강도0}0900-1040.
108,서울,2023-03-30,13.3,,2.2,6.2,,1.1,{연무}2140-{연무}{강도0}2400-
108,서울,2023-03-31,15,,2.1,6.9,,0,-{연무}-{연무}{강도0}0300-0310.
108,서울,2023-04-01,17.5,,1.8,7.5,,1.8,
108,서울,2023-04-02,18.8,,2.4,6,,.4,
108,서울,2023-04-03,19,,2.3,6.1,,4.1,
108,서울,2023-04-04,17.6,6.9,2.6,7.5,,9.1,{비}1855-{비}{강도0}2100-{비}{강도0}2400- {박무}2045-{박무}{강도0}2100-{박무}{강도0}2400-
108,서울,2023-04-05,11.9,50.3,3.4,13.7,,10,-{비}-{비}{강도0}0300-{비}{강도1}0600-{비}{강도0}0900-{비}{강도1}1200-1440. -{박무}-{박무}{강도0}0300-{박무}{강도2}0600-{박무}{강도0}0900-{박무}{강도2}1200-1350. {박무}1510-{박무}{강도1}1800-{박무}{강도1}2100-2250. {안개비}1515-{안개비}{강도0}1800-{안개비}{강도0}2100-2305.
108,서울,2023-04-06,8.8,2.7,2.5,10.7,,9.8,{안개비}0030-{안개비}{강도0}0300-{안개비}{강도0}0600-{안개비}{강도0}0900-{안개비}{강도0}1200-{안개비}{강도0}1500-1650. {박무}0130-{박무}{강도0}0300-{박무}{강도1}0600-0750. {박무}0815-{박무}{강도0}0900-{박무}{강도0}1200-{박무}{강도1}1500-{박무}{강도0}1800-{박무}{강도2}2100-{박무}{강도1}2400- {비}1820-{비}{강도0}2100-2110.
108,서울,2023-04-07,8.9,,2.9,7.3,,1.5,-{박무}-{박무}{강도1}0300-{박무}{강도0}0600-0810.
108,서울,2023-04-08,8.8,,3.2,5.6,,.4,
108,서울,2023-04-09,10.8,,2.5,7,,0,
108,서울,2023-04-10,13.2,,2.7,7.4,,2.6,
108,서울,2023-04-11,13.1,2.9,3.6,11.1,,6.5,{비}0945-{비}{강도0}1200-{안개비}1430-{비}1445-{비}{강도0}1500-{안개비}1520-1640. {박무}1430-{박무}{강도1}1500-{박무}{강도0}1800-{박무}{강도0}2100-2120. {황사}2155-{황사}{강도0}2400-
108,서울,2023-04-12,10.1,,2.7,5.3,,.8,-{황사}-{황사}{강도0}0300-{황사}{강도0}0600-{황사}{강도0}0900-{황사}{강도0}1200-{황사}{강도0}1500-{황사}{강도0}1800-{황사}{강도0}2100-{황사}{강도0}2400-
108,서울,2023-04-13,11.9,0,1.8,5.7,,5.1,-{황사}-{황사}{강도0}0300-{황사}{강도0}0600-{황사}{강도0}0900-{황사}{강도0}1200-{황사}{강도0}1500-{황사}{강도0}1800-{황사}{강도0}2100-{황사}{강도0}2400- {비}1250-1305.
108,서울,2023-04-14,16.2,,1.6,10.7,,8.1,-{황사}-{황사}{강도0}0300-{황사}{강도0}0600-{황사}{강도0}0900-1150.
108,서울,2023-04-15,13.5,4.6,2.2,12.6,,7.4,{비}0920-{비}{강도0}1200-1220. {박무}1050-{박무}{강도0}1200-1210. {박무}2030-{박무}{강도0}2100-{박무}{강도0}2400-
108,서울,2023-04-16,10.8,0,2.5,9,,6.9,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-1010. {황사}1050-{황사}{강도0}1200-{황사}{강도0}1500-{황사}{강도0}1800-2045. {비}1450-1459. {비}1810-1830. {황사}2330-{황사}{강도0}2400-
108,서울,2023-04-17,13.1,,2,8.5,,6.1,-{황사}-{황사}{강도0}0300-{황사}{강도0}0600-0740. 
108,서울,2023-04-18,14,1.5,2.7,12.4,,6.4,{비}0240-0255. {비}0350-0355. {비}0425-{비}{강도0}0600-{비}{강도0}0900-{안개비}1105-{안개비}{강도0}1200-1230. {박무}0650-{박무}{강도0}0900-{박무}{강도1}1200-1220. {박무}2340-{박무}{강도0}2400-
108,서울,2023-04-19,19.1,,2.4,13.7,,2.3,-{박무}-0040. {박무}0210-{박무}{강도0}0300-{박무}{강도0}0600-0650.
108,서울,2023-04-20,15.8,.5,2.4,16.5,,9.5,{박무}0040-0115. {안개비}0155-{안개비}{강도0}0300-{비}0410-{안개비}0525-{안개비}{강도0}0600-{안개비}{강도0}0900-0910. {박무}0225-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-0920. {안개비}1435-{안개비}{강도0}1500-1630. {박무}1940-{박무}{강도0}2100-{박무}{강도0}2400-
108,서울,2023-04-21,16.7,,2.5,8.9,,3.8,-{박무}-{박무}{강도0}0300-0350.
108,서울,2023-04-22,16.9,,2.6,4.3,,7.6,
108,서울,2023-04-23,16.1,,2.1,6.1,,8,{햇무리}0950-1025.
108,서울,2023-04-24,15.8,,2.7,7.3,,5.8,
108,서울,2023-04-25,10.9,.4,1.9,8.9,,9.4,{비}0730-{비}{강도0}0900-{비}{강도0}1200-{비}{강도0}1500-{비}{강도0}1800-2045.
108,서울,2023-04-26,10.2,0,3.1,8.6,,4.5,{비}0620-0655.
108,서울,2023-04-27,12.9,,1.9,8.6,,.5,
108,서울,2023-04-28,15.7,1.9,2.1,10.7,,6.4,{햇무리}1330-1420. {비}2110-{비}{강도0}2400- {박무}2245-{박무}{강도2}2400-
108,서울,2023-04-29,13.2,25.1,2.9,13.6,,9.6,-{비}-{비}{강도1}0300-0555. -{박무}-{박무}{강도1}0300-{박무}{강도0}0600-{박무}{강도0}0900-{박무}{강도0}1200-1230. {비}0715-0850. {비}0910-{비}{강도0}1200-1350. {박무}1320-1410. {비}1950-{비}{강도0}2100-2130.
108,서울,2023-04-30,12.7,.1,3.3,10.4,,6.1,{비}1845-{비}{강도0}2100-2130. {비}2320-2330.
108,서울,2023-05-01,14.6,,2.5,8.8,,3,{박무}0055-{박무}{강도0}0300-{박무}{강도0}0600-0735. {햇무리}0950-1015.
108,서울,2023-05-02,16.7,,2.1,7.3,,6.6,{햇무리}1050-1245.
108,서울,2023-05-03,19.5,,2.1,11.6,,4.5,{햇무리}1150-1230.
108,서울,2023-05-04,21.4,,2.1,16.3,,7.9,
108,서울,2023-05-05,18.4,30.2,2.5,20.2,,10,{비}0015-0250. {비}0335-{비}{강도0}0600-{비}{강도0}0900-1130. {박무}0935-1035. {비}1150-{비}{강도0}1200-{비}{강도0}1500-{비}{강도0}1800-{비}{강도0}2100-{비}{강도0}2400- {박무}1255-{박무}{강도1}1500-{박무}{강도1}1800-{박무}{강도1}2100-{박무}{강도0}2400-
108,서울,2023-05-06,12.6,47.5,5.4,12.5,,9.3,-{박무}-0020. {박무}0220-{박무}{강도2}0300-{박무}{강도0}0600-{박무}{강도1}0900-1155. {비}{강도1}0300-{비}{강도1}0600-{비}{강도1}0900-{비}{강도1}1200-{비}{강도0}1500-1625.
108,서울,2023-05-07,14.4,,2.6,7.6,,7.1,
108,서울,2023-05-08,15.3,,2.2,9.2,,2.4,
108,서울,2023-05-09,17,,2.3,10.2,,.9,
108,서울,2023-05-10,18.4,,1.8,10.6,,2.5,{박무}0245-{박무}{강도0}0300-{박무}{강도0}0600-0610. {햇무리}0950-1450.
108,서울,2023-05-11,19.5,,2.3,10.8,,2.9,
108,서울,2023-05-12,18.4,,1.8,10.1,,5,
108,서울,2023-05-13,17.8,0,2,12.3,,3.6,{박무}0510-{박무}{강도0}0600-{박무}{강도0}0900-0920. {비}2210-2220.
108,서울,2023-05-14,18.1,,2,11.3,,1.6,
108,서울,2023-05-15,20.6,,2.4,12.6,,2,
108,서울,2023-05-16,24,,2.5,14.9,,2.1,
108,서울,2023-05-17,23.5,,3.4,17.9,,4.6,
108,서울,2023-05-18,21.2,1.3,2.1,18.6,,7.1,{박무}0505-{박무}{강도0}0600-0615. {비}1405-1455.
108,서울,2023-05-19,22.3,,2.3,16.1,,2.4,
108,서울,2023-05-20,21.2,,3,16.5,,5,
108,서울,2023-05-21,17.8,.2,3,14.7,,9,{비}0225-{비}{강도0}0300-0555. {박무}0240-{박무}{강도1}0300-0420. {안개비}0645-0850. {박무}0650-0750. {황사}1245-{황사}{강도0}1500-{황사}{강도0}1800-{황사}{강도0}2100-{황사}{강도0}2400-
108,서울,2023-05-22,20.3,0,1.9,14,,6.3,-{황사}-{황사}{강도0}0300-{황사}{강도0}0600-{황사}{강도0}0900-{황사}{강도0}1200-{황사}{강도0}1500-{황사}{강도0}1800-{황사}{강도0}2100-{황사}{강도0}2400- {소나기}1955-2015.
108,서울,2023-05-23,20.5,,2.2,11.2,,.6,-{황사}-0150.
108,서울,2023-05-24,20.6,,2,11.7,,7,
108,서울,2023-05-25,21.2,0,2.4,11.1,,5.4,{비}2350-{비}{강도0}2400-
108,서울,2023-05-26,21.4,.5,2.1,14.2,,7,-{비}-0145. {비}0235-0250.
108,서울,2023-05-27,19.3,31.8,1.7,19.4,,9.6,{비}0830-{비}{강도0}0900-{비}{강도1}1200-{비}{강도0}1500-{비}{강도1}1800-{비}{강도0}2100-{비}{강도0}2400- {박무}1055-{박무}{강도1}1200-{박무}{강도1}1500-{박무}{강도1}1800-{박무}{강도1}2100-{박무}{강도0}2400-
108,서울,2023-05-28,19.2,41.8,1.8,21.9,,10,-{비}-{비}{강도0}0300-{비}{강도0}0600-{비}{강도0}0900-{비}{강도0}1200-{비}{강도0}1500-{비}{강도0}1800-{비}{강도0}2100-{비}{강도0}2400- -{박무}-{박무}{강도1}0300-{박무}{강도2}0600-{박무}{강도1}0900-{박무}{강도1}1200-{박무}{강도0}1500-{박무}{강도0}1800-1950. {박무}2240-{박무}{강도0}2400-
108,서울,2023-05-29,23.2,2.3,1.6,23.2,,6.8,-{비}-{비}{강도0}0300-{비}{강도0}0600-0730. -{박무}-{박무}{강도0}0300-0450. {박무}2315-{박무}{강도0}2400-
108,서울,2023-05-30,24,,2.2,20.2,,6.5,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-0845.
108,서울,2023-05-31,22.8,,2.5,16.6,,6.5,
108,서울,2023-06-01,22.8,,1.9,18.3,,8.3,
108,서울,2023-06-02,20.4,0,2.3,18.3,,3.5,{박무}0655-0735. {안개비}1310-1320.
108,서울,2023-06-03,22,,2.7,15.1,,2.1,
108,서울,2023-06-04,22.1,,2.4,15.4,,3.3,{박무}0335-{박무}{강도0}0600-0610.
108,서울,2023-06-05,21.5,,2.6,16.8,,4.4,
108,서울,2023-06-06,20.3,0,2.6,17.1,,6.1,{소나기}1430-{소나기}{강도0}1500-1525.
108,서울,2023-06-07,21.4,0,2.1,19.1,,8.9,{안개비}0930-1040. {연무}1450-{연무}{강도0}1500-1510.
108,서울,2023-06-08,20.4,1.9,2.4,19.2,,8.4,{박무}0320-0415. {비}1155-{비}{강도0}1200-1215. {비}1330-1450. {비}2020-{비}{강도0}2100-{비}{강도0}2400- {박무}2335-{박무}{강도0}2400-
108,서울,2023-06-09,23.3,1.2,2,17.4,,4.6,-{비}-{비}{강도0}0300-0325. -{박무}-{박무}{강도0}0300-{박무}{강도0}0600-0610.
108,서울,2023-06-10,23.2,.8,2.3,19.5,,6.9,[{우박}](d 1.0)(NW 4)/서대문구/조선일보1430-1450. {비}1550-1620. {비}2240-{비}{강도0}2400-
108,서울,2023-06-11,22.1,32.2,2.2,19.8,,6.1,{박무}0005-0130. {박무}0225- -{비}-{비}{강도1}0300-{시정(미만)}{1km}{비}0357-{시정(이상)}{1km}{비}0409-0440. {박무}{강도2}0300-0450. {비}0625-0645. {소나기}1240-1305.
108,서울,2023-06-12,22.2,0,1.7,18.5,,6.6,{박무}0430-{박무}{강도0}0600-0705. {비}1630-1650. {비}1715-{비}{강도0}1800-1850.
108,서울,2023-06-13,22,0,2.2,18.3,,3.9,{비}0135-0155. {비}0305-0315. {박무}0550-{박무}{강도0}0600-0620.
108,서울,2023-06-14,20.6,30.6,1.5,19.3,,4.1,{박무}0410-0550. {소나기}1335-{소나기}{강도2}1500-1550.
108,서울,2023-06-15,22.7,,2.1,19.1,,2.9,
108,서울,2023-06-16,23.7,,2.1,18.3,,.9,{박무}0155-{박무}{강도0}0300-{박무}{강도0}0600-0755.
108,서울,2023-06-17,24.2,,2,16.8,,4.4,
108,서울,2023-06-18,25.9,,2,19.8,,3.4,
108,서울,2023-06-19,28.5,,2.2,22,,3.3,
108,서울,2023-06-20,24.7,6.4,1.9,19.8,,8.8,{비}1215-{비}{강도0}1500-1630. {비}2125-{비}{강도1}2400-
108,서울,2023-06-21,20.5,24.9,2.1,22.3,,9.4,{박무}0010-{박무}{강도1}0300-{박무}{강도1}0600-0850. -{비}-{비}{강도0}0300-{비}{강도0}0600-{비}{강도0}0900-{비}{강도0}1200-1255. {박무}0905-1130. {박무}1205-1245. {안개비}1325-1415. {박무}1340-1410. {비}1425-1450. {비}1825-1855.
108,서울,2023-06-22,22.5,0,2.2,20.9,,6.3,{소나기}1750-{소나기}{강도0}1800-1805. {박무}2255-{박무}{강도0}2400-
108,서울,2023-06-23,24.4,,1.5,23.1,,5,-{박무}-0125. {박무}0505-{박무}{강도0}0600-0830.
108,서울,2023-06-24,26.4,,2,24,,1.5,
108,서울,2023-06-25,28.2,,2.1,24.2,,5.8,
108,서울,2023-06-26,24.2,30.3,2.9,26.4,,10,{비}0325-{시정(미만)}{1km}{비}0558-{비}{강도1}0600-{시정(이상)}{1km}{비}0609-{비}{강도0}0900-1030. {비}1320-{비}{강도1}1500-1525. {박무}1405-{박무}{강도0}1500-1530. {비}1845-2040. {비}2110-2320.
108,서울,2023-06-27,25.3,2.5,3.2,23.1,,6.5,{비}0010-0240.
